rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,Num Cands,Num Seats
1,5,2,7,Skipped,Skipped,Skipped,4,Skipped,Skipped,2,6,4,Skipped,5,5,4,4,5,3,Skipped,4,5,Skipped,6,25.0,1.0
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,5,2,8,25,25,25,9,7,6,10,25,3,25,25,25,14,12,25,4,25,13,11,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
5,25,19,13,2,6,1,8,3,21,11,12,10,14,7,24,17,15,25,9,23,16,4,20,22,,
7,24,4,15,6,1,2,10,8,5,13,14,12,16,9,22,19,17,23,11,21,18,3,20,1,,
22,Skipped,23,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,25,23,Skipped,2,Skipped,24,23,Skipped,Skipped,,
8,2,12,5,20,17,24,6,21,22,14,15,7,23,13,25,11,3,1,10,19,4,9,18,16,,
1,5,4,25,11,25,25,6,25,25,8,25,9,25,25,25,7,2,25,10,25,3,10,25,25,,
1,6,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,5,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,7,2,9,25,25,25,25,25,25,25,25,5,25,25,25,25,3,8,25,25,4,6,25,25,,
1,10,4,8,7,8,7,6,6,2,6,8,6,9,3,9,5,5,10,6,6,5,8,8,9,,
25,25,25,25,1,3,2,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,,
1,10,2,14,Skipped,Skipped,Skipped,9,6,4,3,12,5,Skipped,13,10,10,10,10,8,11,10,7,25,23,,
3,25,1,7,25,25,25,4,25,25,6,8,5,25,9,25,25,25,25,2,25,25,25,25,10,,
1,8,2,25,25,25,25,25,25,25,25,25,25,25,6,8,5,3,25,6,25,4,7,8,25,,
25,25,2,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,,
2,18,1,8,25,23,24,21,15,11,4,9,5,19,20,6,3,16,12,14,22,7,10,13,17,,
25,25,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,25,25,25,1,25,25,,
3,25,2,25,25,25,25,25,25,9,1,8,4,25,25,25,25,25,7,5,6,25,10,25,25,,
1,10,2,18,25,25,25,15,25,13,3,12,11,25,4,9,6,8,16,5,17,7,14,25,25,,
1,8,2,24,9,24,24,14,11,12,4,10,3,24,7,24,15,24,13,24,25,24,16,5,6,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,1,1,1,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,,
8,10,2,25,25,25,25,10,11,19,25,10,25,25,21,8,25,3,18,6,25,5,17,15,25,,
1,5,2,25,8,25,25,9,24,10,4,25,3,25,25,25,25,25,25,7,25,25,6,25,25,,
2,13,1,18,22,19,22,17,24,18,5,19,7,24,17,21,23,16,24,8,25,22,25,17,13,,
1,5,2,11,25,25,25,25,25,25,7,9,8,25,25,25,10,4,25,3,25,5,6,7,25,,
1,2,7,25,18,21,22,11,21,14,5,20,12,25,23,3,15,24,14,16,14,16,9,6,22,,
1,9,2,17,12,22,16,5,14,20,3,18,4,23,13,11,8,10,7,15,24,19,6,25,21,,
1,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,5,3,25,6,25,4,7,25,25,,
1,10,3,16,25,25,25,19,25,9,2,7,11,25,13,18,14,6,12,4,17,15,5,8,25,,
1,3,2,8,12,17,13,17,7,4,23,18,10,14,17,6,24,25,9,21,16,24,5,11,22,,
4,2,1,7,10,25,25,25,25,25,25,25,24,25,25,25,15,5,25,8,6,12,9,25,13,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,8,2,15,22,23,12,15,21,16,4,5,3,25,13,25,6,25,7,8,24,9,12,23,12,,
1,9,2,9,25,25,25,12,9,19,25,25,17,25,25,25,7,25,25,5,25,25,8,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,2,25,25,,
1,8,11,9,13,12,20,15,21,16,17,19,6,22,19,25,10,3,24,2,23,4,5,19,14,,
1,12,8,25,14,25,25,25,25,25,25,25,25,25,25,25,25,7,25,25,25,9,25,25,25,,
1,6,2,24,20,25,16,5,13,21,7,17,4,23,14,19,10,9,12,11,22,8,3,18,15,,
2,12,1,21,10,25,22,16,8,15,3,20,7,24,17,23,4,5,18,6,14,9,11,13,19,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,,
1,16,2,18,21,25,22,19,11,7,3,6,10,24,5,8,13,14,9,20,17,12,15,4,23,,
3,25,18,15,5,8,4,10,6,20,13,14,12,16,9,23,17,2,24,11,22,1,7,19,21,,
1,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,23,4,17,10,24,9,5,11,25,7,8,6,20,13,15,22,19,3,21,2,24,12,18,14,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,3,25,6,10,Skipped,10,6,5,Skipped,25,Skipped,4,Skipped,7,Skipped,8,8,11,2,11,8,9,Skipped,Skipped,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,8,2,21,13,17,12,4,25,23,5,20,3,14,19,16,11,9,15,7,25,10,6,22,18,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,,
25,24,5,7,22,12,2,14,15,19,3,4,13,17,8,23,18,20,9,16,11,21,10,1,6,,
6,24,15,13,1,7,2,9,3,19,10,14,11,12,5,25,17,16,23,8,20,18,4,21,22,,
1,10,3,17,22,25,2,19,12,11,8,23,7,25,14,9,4,6,16,18,21,5,13,15,20,,
1,12,2,15,23,24,21,14,7,13,3,19,8,25,9,20,11,5,16,4,17,10,6,22,18,,
1,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,10,2,20,23,5,21,9,5,12,6,11,25,20,9,22,20,20,24,9,20,20,5,20,20,,
2,13,1,22,24,21,25,19,6,4,3,11,5,20,16,17,7,15,12,10,23,8,9,14,18,,
1,9,1,20,16,16,15,15,9,9,3,15,8,15,10,15,7,4,19,10,17,7,10,18,19,,
2,3,1,25,6,7,13,25,9,5,10,25,25,12,9,25,25,25,25,25,25,25,8,25,4,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,25,2,25,25,25,25,18,25,25,25,25,9,25,25,25,14,6,25,11,25,11,18,25,19,,
1,9,3,10,25,25,25,6,25,25,25,25,8,25,25,25,25,2,25,7,12,4,5,25,11,,
1,9,4,17,13,14,17,14,11,7,8,12,6,17,11,16,10,2,13,3,15,5,11,16,17,,
1,4,2,16,21,24,22,14,7,6,3,17,5,25,18,12,10,8,15,11,23,9,13,19,20,,
11,24,25,12,14,20,13,20,15,16,4,8,10,21,1,17,18,23,2,19,6,22,5,9,7,,
2,11,1,13,25,25,25,12,25,16,3,25,5,14,6,25,10,25,8,9,17,15,4,25,7,,
1,3,1,4,Skipped,Skipped,Skipped,4,3,4,2,4,2,Skipped,4,4,4,3,4,3,4,4,4,2,Skipped,,
1,13,2,25,19,24,19,13,11,10,3,13,9,19,13,8,5,5,12,13,22,5,13,4,23,,
1,5,3,10,25,25,19,8,8,4,12,25,16,25,8,2,14,21,8,14,10,25,13,25,14,,
2,25,1,8,18,23,23,12,13,16,4,7,5,23,3,15,11,9,23,25,23,10,6,14,23,,
1,5,1,7,7,6,7,6,6,3,2,6,3,7,6,5,4,4,3,5,6,4,3,2,7,,
1,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
2,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,6,2,25,22,21,20,11,12,13,4,16,3,23,19,17,9,7,15,14,18,8,5,10,25,,
1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,25,25,25,25,2,,
1,7,2,15,14,24,11,10,19,21,6,17,4,23,13,20,9,5,16,12,22,3,8,25,18,,
3,5,1,21,18,25,16,20,7,3,3,23,17,18,16,16,15,10,20,10,25,16,15,25,13,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,5,2,8,25,25,25,10,25,25,4,11,3,25,6,25,25,25,25,25,9,7,10,25,25,,
1,8,2,16,Skipped,17,Skipped,12,7,14,3,Skipped,13,Skipped,6,4,Skipped,5,15,10,Skipped,Skipped,9,Skipped,11,,
25,4,13,12,23,21,22,11,24,16,3,5,8,21,2,9,19,20,10,7,14,17,6,1,15,,
1,23,6,12,16,7,13,12,4,5,3,12,25,12,12,8,15,24,23,12,23,12,4,23,23,,
1,8,2,25,25,25,25,10,25,25,6,11,7,25,25,25,5,3,25,9,25,4,25,25,25,,
1,13,2,16,5,24,4,9,24,10,3,12,8,24,11,25,24,24,14,15,17,24,7,6,18,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,2,3,15,7,25,8,19,25,20,24,12,24,25,12,8,23,24,18,22,15,20,23,10,9,,
1,6,2,9,14,Skipped,12,3,17,10,5,15,5,10,4,13,15,12,16,11,7,13,8,6,Skipped,,
1,7,2,11,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,3,10,5,Skipped,4,8,Skipped,12,,
18,1,19,16,4,3,2,9,6,23,21,20,12,11,8,24,22,13,14,15,7,17,5,25,10,,
1,6,2,12,Skipped,Skipped,Skipped,13,4,Skipped,4,Skipped,9,Skipped,8,Skipped,Skipped,3,9,7,14,Skipped,11,Skipped,Skipped,,
2,25,1,25,25,25,25,25,7,4,3,25,5,25,25,8,6,25,25,25,25,25,25,25,25,,
1,10,2,17,Skipped,Skipped,Skipped,11,6,5,3,16,4,21,13,18,15,12,9,8,19,14,7,25,20,,
2,1,5,25,25,25,25,3,7,25,25,25,25,25,25,25,25,4,25,25,25,6,25,25,25,,
1,10,3,19,8,2,5,14,17,20,19,9,15,4,12,24,25,16,11,18,24,20,6,7,25,,
1,3,2,25,25,25,25,25,25,25,4,25,8,25,6,25,25,25,25,25,5,25,7,25,25,,
2,20,1,25,Skipped,25,Skipped,25,25,25,4,25,25,25,25,3,25,5,6,25,19,25,25,Skipped,25,,
1,5,2,7,7,8,8,6,6,6,3,8,4,8,8,7,4,3,7,4,8,4,6,8,8,,
1,23,2,20,25,21,25,25,10,17,10,25,11,25,25,25,6,8,24,25,25,7,25,14,25,,
2,6,1,25,25,25,25,4,25,13,3,25,5,25,25,9,10,11,7,8,25,12,14,25,25,,
1,8,2,12,25,25,25,13,25,25,4,14,3,25,10,7,25,6,5,15,25,25,9,25,11,,
1,4,2,15,11,16,Skipped,18,Skipped,6,3,19,5,18,10,13,Skipped,Skipped,8,9,14,Skipped,7,17,12,,
2,8,1,20,20,20,20,10,14,4,3,15,9,20,11,12,4,4,16,17,19,4,13,18,20,,
1,9,3,25,25,25,25,25,25,8,2,6,11,25,12,25,25,25,10,7,13,25,5,4,25,,
2,8,1,Skipped,Skipped,Skipped,Skipped,12,7,5,3,15,9,Skipped,10,6,4,Skipped,11,12,14,Skipped,12,17,16,,
1,7,2,16,Skipped,Skipped,Skipped,24,Skipped,9,5,13,8,Skipped,12,10,6,3,11,13,18,4,15,19,17,,
25,9,24,7,23,Skipped,20,6,13,18,23,3,20,21,17,21,22,21,6,15,4,18,2,1,19,,
1,13,2,24,10,8,11,16,3,7,4,19,4,9,6,21,22,20,15,5,18,23,12,25,17,,
2,21,20,1,13,10,12,16,11,5,18,8,17,19,15,3,23,25,21,9,4,24,14,6,7,,
4,10,3,25,25,25,25,25,25,5,1,7,6,25,11,9,13,25,13,25,12,25,8,2,25,,
1,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,10,2,10,16,16,13,3,17,12,3,11,7,18,14,15,6,4,10,9,15,5,8,25,12,,
1,4,2,25,22,24,21,17,5,8,3,16,13,23,9,7,10,12,6,15,19,11,14,18,20,,
1,Skipped,3,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,2,Skipped,6,Skipped,4,10,Skipped,Skipped,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,1,25,25,25,,
1,3,2,25,25,25,25,11,10,25,9,25,4,25,25,5,8,6,13,25,25,7,25,25,12,,
2,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,25,4,25,25,25,25,25,Skipped,25,2,5,6,1,1,25,25,Skipped,1,6,25,25,25,25,25,,
1,23,2,16,22,13,24,7,14,5,9,6,11,17,25,19,4,10,12,8,21,18,20,3,15,,
1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,25,,
25,25,5,25,25,25,25,8,25,25,25,25,16,3,25,25,25,25,25,25,25,25,25,25,25,,
1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,10,Skipped,Skipped,Skipped,11,3,6,4,8,Skipped,Skipped,5,Skipped,Skipped,Skipped,,
1,25,2,11,25,25,25,25,4,3,5,10,13,25,9,6,8,25,12,25,25,25,14,7,25,,
1,6,2,21,19,25,24,15,20,13,3,23,8,23,9,17,16,10,4,14,12,11,18,7,5,,
1,12,4,17,Skipped,Skipped,Skipped,15,Skipped,9,2,20,6,18,14,19,16,8,3,7,11,5,13,Skipped,10,,
1,7,3,15,8,17,16,12,13,10,2,11,5,17,6,5,9,7,13,4,17,7,14,16,15,,
5,18,2,21,25,25,25,21,21,10,6,20,20,25,17,20,14,17,20,16,20,15,21,20,25,,
1,4,2,10,7,Skipped,9,9,Skipped,Skipped,4,12,5,15,6,12,Skipped,3,7,4,11,3,8,5,15,,
1,18,4,12,24,11,25,21,6,7,5,19,20,13,22,9,16,8,10,2,17,15,23,3,14,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
2,4,1,25,25,25,25,8,25,10,3,11,6,25,13,25,25,25,7,9,25,25,5,25,12,,
1,9,4,25,23,25,25,25,24,25,22,20,6,17,25,25,25,10,25,25,19,2,14,25,18,,
1,13,3,Skipped,Skipped,Skipped,Skipped,Skipped,4,4,2,15,6,Skipped,12,12,8,8,15,6,17,10,13,11,Skipped,,
