rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,Num Cands,Num Seats
1,6,2,10,12,12,12,12,12,12,12,12,9,12,7,12,12,4,12,3,11,5,8,12,12,,
1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,17,1,25,25,25,25,23,25,17,15,24,15,25,18,25,16,25,21,20,25,25,18,22,19,,
1,25,25,9,25,25,25,25,25,25,25,25,10,25,25,25,25,5,25,25,25,25,10,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,8,2,25,25,25,25,25,7,25,11,25,10,25,25,25,25,3,9,5,25,3,6,25,25,,
1,6,2,25,25,25,25,25,25,7,5,25,25,25,25,25,5,3,25,25,25,4,25,25,25,,
1,13,2,25,25,25,25,15,14,8,4,25,10,25,25,25,6,3,11,7,25,5,12,9,16,,
24,1,22,3,10,4,9,13,5,18,21,19,6,14,12,23,20,7,16,15,2,8,11,25,17,,
3,23,2,14,9,6,12,8,1,15,10,14,25,14,8,23,19,24,20,8,23,19,16,11,23,,
2,25,3,10,25,25,25,7,25,25,8,25,6,25,25,25,9,1,25,4,25,5,4,25,25,,
2,11,1,19,18,25,25,5,7,4,3,13,6,25,10,15,14,14,12,9,16,14,8,17,20,,
25,2,9,6,7,1,11,16,12,18,23,21,17,4,14,15,22,8,10,20,3,5,13,24,19,,
1,12,2,11,7,25,25,10,25,25,25,25,9,25,25,25,5,3,25,6,13,4,8,25,25,,
10,25,11,5,25,25,22,2,24,23,1,8,3,15,18,20,7,6,13,12,14,17,4,19,16,,
12,25,17,25,25,25,23,25,25,25,19,25,1,25,22,25,25,25,25,22,25,25,19,24,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,5,2,3,25,25,25,25,25,25,25,25,25,25,25,25,25,4,25,25,25,25,6,25,7,,
1,5,1,9,8,9,10,6,6,4,3,7,6,9,6,7,3,3,6,6,9,3,6,9,9,,
1,16,2,25,10,12,13,14,25,25,6,15,9,11,25,25,7,3,25,5,25,4,8,25,25,,
1,7,2,20,24,23,21,19,22,14,8,18,17,15,6,10,25,14,3,14,12,13,4,12,9,,
2,9,1,25,25,25,25,9,8,5,3,25,6,25,14,7,3,Skipped,7,6,16,4,15,25,25,,
1,4,2,7,Skipped,Skipped,Skipped,7,5,4,3,7,5,Skipped,6,3,3,3,4,6,4,3,5,7,6,,
6,23,18,14,1,7,2,9,4,21,16,12,8,15,5,25,17,13,24,10,19,20,3,11,22,,
1,10,2,9,25,18,14,25,11,8,25,25,12,15,3,6,19,17,7,4,25,16,13,25,5,,
1,25,2,25,25,25,25,25,25,25,3,25,4,25,25,25,25,25,25,25,25,25,25,25,25,,
1,3,2,25,25,25,25,4,8,25,25,25,25,25,25,25,25,5,25,7,25,6,25,25,25,,
2,13,1,24,22,19,25,20,12,4,3,8,5,21,17,14,9,11,7,10,23,6,15,16,18,,
1,5,2,24,24,24,24,6,14,8,3,24,4,24,24,9,12,11,16,7,24,13,15,10,24,,
12,14,11,23,22,22,22,13,5,4,2,22,3,24,17,1,8,25,16,18,10,15,6,8,9,,
2,8,1,24,20,23,22,6,14,4,3,17,10,25,12,9,4,19,7,13,16,18,11,21,15,,
1,5,3,19,18,24,21,15,17,12,2,16,4,23,13,6,8,9,14,10,20,11,7,22,25,,
1,3,2,12,25,11,24,8,10,22,18,20,13,21,19,15,7,5,14,9,17,6,4,22,16,,
1,6,2,25,25,25,25,7,25,25,25,25,25,25,25,5,25,3,8,8,25,3,25,25,25,,
1,2,8,7,17,11,15,14,9,22,13,19,4,25,10,24,19,3,23,6,16,5,11,18,24,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,,
1,6,2,19,22,23,21,11,18,8,3,16,14,24,4,13,10,25,12,7,5,20,15,9,17,,
1,7,3,16,25,17,25,10,15,14,2,18,5,25,13,6,8,4,21,11,19,9,25,12,20,,
19,5,21,10,15,24,22,14,6,1,12,11,8,18,3,13,9,21,4,7,21,23,25,21,2,,
1,18,2,14,25,23,24,20,13,9,3,11,10,21,19,12,5,4,16,8,17,6,15,7,22,,
1,20,25,6,18,19,17,22,24,15,2,21,5,12,11,23,8,9,7,14,16,10,4,3,13,,
1,8,4,13,22,23,24,12,11,15,9,14,5,25,20,19,7,2,18,3,17,6,10,16,21,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,3,2,13,22,24,23,7,17,5,4,20,8,10,19,12,16,14,6,18,21,15,9,25,11,,
1,10,2,Skipped,11,Skipped,Skipped,Skipped,7,12,3,Skipped,8,Skipped,Skipped,Skipped,6,5,Skipped,Skipped,Skipped,4,9,Skipped,Skipped,,
1,3,2,18,25,25,25,9,12,13,7,6,5,24,4,17,11,14,21,8,19,15,10,25,20,,
1,12,2,17,6,13,19,11,8,23,4,16,14,21,5,10,25,22,15,20,18,24,3,9,7,,
1,7,2,25,14,25,25,8,25,8,3,12,4,12,6,9,25,25,8,7,25,25,5,25,25,,
4,25,1,25,25,25,5,25,25,25,25,25,25,25,25,25,3,2,25,25,25,25,25,25,25,,
2,1,5,15,11,20,12,25,25,25,21,20,22,10,18,16,21,18,20,20,25,18,22,25,25,,
1,13,2,16,7,24,6,11,4,10,3,16,25,23,12,5,22,18,22,16,9,22,8,17,22,,
1,10,2,15,4,12,5,8,18,19,25,25,3,11,7,25,25,16,13,9,25,14,6,25,17,,
2,1,6,4,25,25,25,9,10,11,25,25,5,25,25,25,12,3,25,25,25,7,25,8,25,,
25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
2,10,1,25,25,25,25,25,6,4,3,8,7,25,25,25,5,25,25,25,9,25,25,25,25,,
3,2,1,8,11,Skipped,17,13,5,14,4,12,6,19,18,9,22,24,20,25,15,23,21,7,10,,
2,5,1,25,25,25,25,11,5,4,3,9,25,25,8,5,5,25,5,25,10,25,10,25,25,,
6,17,24,9,9,25,10,5,11,15,2,12,9,21,3,23,20,18,21,12,21,9,1,17,19,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,3,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4,25,,
1,16,2,23,12,24,25,14,17,7,6,18,9,21,13,10,5,3,15,8,20,4,11,19,22,,
1,5,2,25,25,25,25,25,7,9,3,25,8,25,6,25,25,25,11,4,25,25,10,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,25,25,24,Skipped,Skipped,Skipped,25,25,25,25,25,25,25,25,25,25,2,25,3,25,25,6,Skipped,25,,
1,5,2,17,11,24,23,12,13,20,8,14,6,25,16,18,9,3,15,4,22,7,10,21,19,,
2,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,4,2,20,9,15,25,13,11,7,3,25,12,23,8,14,18,16,6,10,12,17,5,19,25,,
1,14,4,15,22,24,23,2,11,10,3,21,17,25,16,19,9,5,12,8,18,13,13,15,20,,
1,5,2,8,Skipped,Skipped,Skipped,8,Skipped,Skipped,4,12,4,7,6,9,Skipped,2,9,3,7,2,8,Skipped,7,,
1,4,2,17,21,25,22,10,8,5,3,17,9,24,15,18,11,12,14,6,19,13,7,17,20,,
25,25,23,25,25,25,2,25,25,25,25,25,25,4,25,25,25,25,25,25,25,25,3,25,1,,
1,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,25,25,25,4,25,25,25,,
1,10,4,21,25,19,25,6,14,17,3,20,7,25,25,5,8,2,15,11,16,12,13,9,18,,
2,1,3,10,16,25,16,20,25,15,25,25,22,25,10,5,25,23,10,22,20,23,22,15,6,,
1,2,3,11,18,21,17,7,15,14,14,14,10,16,25,20,9,4,22,8,23,5,6,19,24,,
1,11,2,Skipped,10,11,Skipped,10,10,Skipped,8,Skipped,9,Skipped,6,Skipped,Skipped,4,Skipped,3,Skipped,5,7,Skipped,Skipped,,
1,14,2,11,25,25,25,6,25,25,25,25,5,13,25,25,8,8,3,10,25,8,7,25,2,,
1,6,2,22,19,23,25,18,15,4,10,16,5,20,7,14,9,11,12,3,21,8,13,24,17,,
3,25,2,25,25,25,25,25,25,7,1,25,25,25,5,6,25,25,4,25,8,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,9,2,14,21,19,18,5,Skipped,Skipped,3,Skipped,6,20,Skipped,17,7,13,10,8,12,11,16,4,15,,
1,10,2,25,25,25,25,25,25,25,25,25,5,25,25,25,25,25,9,25,25,25,25,25,25,,
1,2,4,25,25,25,15,12,25,25,21,25,14,25,25,25,25,25,16,8,25,25,8,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
2,7,5,25,9,25,11,10,25,25,25,25,4,25,25,25,7,2,25,5,25,1,25,25,25,,
1,5,2,8,25,25,25,25,25,25,25,25,25,25,25,25,9,6,25,3,25,6,4,25,25,,
1,21,3,9,24,25,23,5,19,6,2,10,4,22,7,15,17,Skipped,14,20,13,Skipped,8,12,11,,
1,8,6,20,21,18,22,19,15,16,13,17,5,24,23,9,10,2,11,4,12,3,7,14,25,,
3,12,2,18,22,24,25,15,6,4,1,17,19,24,5,7,13,20,8,11,16,14,9,10,21,,
1,5,2,8,25,25,25,10,25,25,25,25,9,25,25,25,7,4,7,3,25,4,5,6,10,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
2,7,1,25,25,25,25,25,25,25,5,25,6,25,10,25,4,12,11,8,25,3,9,25,25,,
1,10,2,21,22,25,23,9,4,11,3,20,8,24,15,16,17,18,6,12,14,19,5,7,13,,
1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,5,Skipped,Skipped,Skipped,Skipped,3,Skipped,4,Skipped,7,8,Skipped,Skipped,,
1,15,3,18,5,7,13,17,24,23,3,8,4,19,12,14,10,2,16,11,25,9,6,22,20,,
1,9,1,25,25,25,25,25,25,25,25,25,5,25,25,25,25,25,10,25,10,25,11,25,25,,
2,25,1,25,25,25,25,25,6,7,5,25,25,25,25,25,3,25,25,25,25,4,25,25,25,,
1,10,2,19,18,25,23,8,9,7,3,15,14,24,21,16,3,13,17,20,11,6,12,5,22,,
1,25,5,25,3,8,10,25,25,25,25,25,7,6,9,25,25,25,25,25,25,25,4,25,2,,
1,3,1,5,10,11,12,5,Skipped,4,1,2,5,Skipped,2,Skipped,3,3,Skipped,1,3,3,5,Skipped,Skipped,,
2,3,1,25,25,25,25,11,9,8,4,25,10,25,5,25,12,13,25,6,25,7,25,25,25,,
2,9,5,14,10,25,25,7,1,25,25,25,6,25,25,25,Skipped,Skipped,22,12,Skipped,25,15,25,16,,
1,22,24,17,20,21,19,23,25,8,2,18,12,3,15,9,7,14,5,16,10,13,11,4,6,,
1,25,2,25,25,25,25,25,25,5,3,25,4,25,25,25,3,3,25,25,25,3,6,25,25,,
1,7,2,10,6,8,6,8,5,9,6,9,7,10,8,9,4,3,11,5,11,4,7,10,11,,
1,12,2,19,22,23,24,14,16,11,4,8,5,20,25,18,9,7,13,3,21,6,15,17,10,,
2,15,1,24,23,21,25,20,7,4,3,9,5,17,18,11,6,13,14,10,22,8,12,19,16,,
2,10,1,17,16,20,21,22,14,4,3,19,7,24,13,12,5,11,15,6,25,8,9,18,23,,
1,6,2,10,6,9,20,3,Skipped,Skipped,Skipped,11,4,25,8,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,7,Skipped,Skipped,,
1,5,3,11,7,19,20,21,25,24,2,13,10,17,4,23,14,16,8,12,18,15,9,6,22,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,25,2,25,25,25,25,25,25,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,8,2,12,14,Skipped,18,9,Skipped,15,Skipped,Skipped,4,Skipped,Skipped,Skipped,6,5,16,3,10,7,13,Skipped,11,,
1,7,1,10,5,9,8,2,4,13,6,7,7,12,10,9,9,8,9,3,14,8,8,13,14,,
2,5,1,13,16,24,23,8,3,9,6,18,4,25,20,10,7,17,15,14,21,11,12,22,19,,
1,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5,25,3,25,25,25,25,25,,
1,12,6,9,10,12,10,7,12,12,8,12,5,12,12,12,5,2,12,4,13,5,3,12,12,,
4,7,5,13,22,24,23,9,20,15,11,10,12,25,8,18,3,2,17,14,21,1,19,6,16,,
1,5,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,4,25,25,25,,
1,6,2,8,25,25,25,5,25,25,6,7,4,25,25,25,25,4,12,3,25,6,25,25,25,,
1,9,6,8,7,25,11,25,25,25,25,10,2,25,25,25,25,25,25,25,12,25,3,4,5,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,11,2,13,20,18,19,15,10,6,4,17,12,22,9,25,3,5,21,14,16,8,23,7,25,,
2,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
2,11,1,12,19,22,16,3,21,23,7,13,4,25,15,17,18,9,5,8,24,10,6,20,14,,
25,25,25,25,25,25,25,25,25,25,1,25,25,25,2,25,25,25,4,25,25,25,3,25,25,,
1,25,2,25,25,25,25,25,25,7,4,25,8,25,25,25,25,25,10,25,25,25,5,25,25,,
1,25,2,25,5,6,6,4,25,25,25,25,25,25,3,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,6,4,2,11,8,Skipped,Skipped,12,7,Skipped,15,9,14,10,Skipped,5,13,,
1,4,1,7,6,7,6,4,5,3,2,7,4,7,4,6,5,6,4,5,8,6,4,8,6,,
1,3,2,13,15,6,25,8,Skipped,21,13,13,14,4,8,Skipped,21,5,Skipped,7,25,21,9,21,21,,
1,1,4,19,12,23,10,19,15,17,22,15,22,21,17,12,25,15,16,24,25,15,22,8,25,,
1,25,2,25,7,5,4,25,25,25,3,25,25,25,25,25,25,25,25,25,25,25,6,25,25,,
1,7,1,4,25,25,25,25,25,6,25,25,7,25,7,25,2,2,4,3,25,2,4,25,5,,
1,Skipped,2,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,Skipped,Skipped,6,Skipped,Skipped,Skipped,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
1,16,2,14,25,15,25,14,25,15,3,6,13,15,13,25,4,7,9,8,12,4,10,5,11,,
1,4,2,19,21,25,23,10,6,5,3,15,9,24,14,13,17,22,12,7,16,18,8,11,20,,
2,25,1,25,25,25,25,8,4,25,3,25,7,25,25,25,25,5,25,25,25,25,6,25,25,,
1,3,7,17,25,25,25,15,10,8,11,16,6,25,25,13,12,4,14,2,25,5,9,19,18,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
