"rank1","rank2","rank3","Num Cands","Num Seats"
"1","3","2","3.0","1.0"
"3","1","skipped","nan","nan"
"3","skipped","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","2","1","nan","nan"
"1","3","skipped","nan","nan"
"2","1","3","nan","nan"
"3","1","skipped","nan","nan"
"3","1","2","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","2","nan","nan"
"3","skipped","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","2","nan","nan"
"3","1","2","nan","nan"
"3","1","skipped","nan","nan"
"3","skipped","skipped","nan","nan"
"3","skipped","skipped","nan","nan"
"2","1","3","nan","nan"
"3","1","2","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","skipped","skipped","nan","nan"
"2","1","3","nan","nan"
"3","1","2","nan","nan"
"3","1","skipped","nan","nan"
"3","1","2","nan","nan"
"3","1","2","nan","nan"
"3","1","2","nan","nan"
"3","1","skipped","nan","nan"
"3","2","1","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
"3","1","skipped","nan","nan"
